monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94743784545507,0.0,241221632,240386048
94743884728121,0.0,241221632,240386048
94743984907661,0.0,241221632,240386048
94744085101737,0.0,241221632,240386048
94744185258462,0.0,241221632,240386048
94744285446020,9.981128081373422,241221632,240386048
94744385653579,0.0,241221632,240386048
94744485831415,0.0,241221632,240386048
94744585987399,0.0,241221632,240386048
94744686188218,0.0,241221632,240386048
94744786376647,0.0,241221632,240386048
94744886571780,0.0,241221632,240386048
94744986734802,0.0,241221632,240386048
94745086925842,0.0,241221632,240386048
94745187137716,0.0,241221632,240386048
94745287321164,0.0,241221632,240386048
94745387513056,0.0,241221632,240386048
94745487778061,9.973742725838898,241221632,240386048
94745588015584,0.0,241221632,240386048
94745688228033,0.0,241221632,240386048
94745788464426,0.0,241221632,240386048
94745888676079,0.0,241221632,240386048
94745988913769,0.0,241221632,240386048
94746089099180,0.0,241221632,240386048
94746189297536,0.0,241221632,240386048
94746289524819,0.0,241221632,240386048
94746389703489,0.0,241221632,240386048
94746489906660,0.0,241221632,240386048
94746590102221,0.0,241221632,240386048
94746690271985,9.983078182606004,241221632,240386048
94746790430971,0.0,241221632,240386048
94746890623828,0.0,241221632,240386048
94746990791536,0.0,241221632,240386048
94747090941466,0.0,241221632,240386048
94747191197176,0.0,241221632,240386048
94747291381236,0.0,241221632,240386048
94747391591334,0.0,241221632,240386048
94747491776876,0.0,241221632,240386048
94747591951381,9.982496889911268,241221632,240386048
94747692147720,0.0,241221632,240386048
94747792315170,0.0,241221632,240386048
94747892491824,0.0,241221632,240386048
94747992681478,0.0,241221632,240386048
94748092848909,0.0,241221632,240386048
94748193035637,0.0,241221632,240386048
94748293262624,0.0,241221632,240386048
94748393457889,0.0,241221632,240386048
94748493693896,0.0,241221632,240386048
94748593890976,0.0,241221632,240386048
94748694106760,0.0,241221632,240386048
94748794340119,0.0,241221632,240386048
94748894557052,0.0,241221632,240386048
94748994762132,0.0,241221632,240386048
94749094980713,0.0,241221632,240386048
94749195167719,9.981360109033208,241221632,240386048
94749295352855,0.0,241221632,240386048
94749395557473,0.0,241221632,240386048
94749495746794,0.0,241221632,240386048
94749595978543,0.0,241221632,240386048
94749696223550,0.0,241221632,240386048
94749796429521,0.0,241221632,240386048
94749896651491,0.0,241221632,240386048
94749996822239,0.0,241221632,240386048
94750097015727,0.0,241221632,240386048
94750197232198,0.0,241221632,240386048
94750297429927,9.980269705577285,241221632,240386048
94750397624730,0.0,241221632,240386048
94750497841960,0.0,241221632,240386048
94750598028579,0.0,241221632,240386048
94750698241865,0.0,241221632,240386048
94750798429206,0.0,241221632,240386048
94750898620029,0.0,241221632,240386048
94750998830204,0.0,241221632,240386048
