window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
754,15684487728517,15684516170084,15684723423928,207.253844,235.695411,0
755,15685106523140,15685136725171,15685339321476,202.596305,232.798336,0
756,15685723432873,15685744116326,15685961679878,217.563552,238.247005,0
757,15686340807866,15686359307670,15686569551885,210.244215,228.744019,0
758,15686957936303,15686978082422,15687193503844,215.421422,235.567541,0
759,15687577151056,15687600264806,15687814521764,214.256958,237.370708,0
760,15688193743734,15688215229984,15688397665818,182.435834,203.922084,0
761,15688813028062,15688834038571,15688994970229,160.931658,181.942167,0
762,15689430788834,15689449714342,15689627509618,177.795276,196.720784,0
763,15690048183180,15690066365446,15690269961085,203.595639,221.777905,0
764,15690666575174,15690687522238,15690872158295,184.636057,205.583121,0
765,15691284307668,15691304860029,15691491227568,186.367539,206.9199,0
766,15691902528811,15691922976561,15692133821369,210.844808,231.292558,0
767,15692519331973,15692537815517,15692772638892,234.823375,253.306919,0
768,15693137742190,15693158643773,15693336459272,177.815499,198.717082,0
769,15693756228908,15693775814342,15693953266600,177.452258,197.037692,0
770,15694373256273,15694392167448,15694556508830,164.341382,183.252557,0
771,15694991013547,15695020168059,15695255342359,235.1743,264.328812,0
772,15695609643209,15695632700830,15695803683067,170.982237,194.039858,0
773,15696226837260,15696246085991,15696475137345,229.051354,248.300085,0
774,15696845433998,15696863618005,15697045857932,182.239927,200.423934,0
775,15697462960346,15697493020358,15697730987957,237.967599,268.027611,0
776,15698081041546,15698101192184,15698307163380,205.971196,226.121834,0
777,15698697897005,15698718036921,15698913653243,195.616322,215.756238,0
778,15699316599817,15699336251066,15699537178539,200.927473,220.578722,0
779,15699933917351,15699954581230,15700163304521,208.723291,229.38717,0
780,15700551278682,15700570773486,15700759880583,189.107097,208.601901,0
